case,domain,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,candidate_id,hypothesis,function_guess,variant,tool_chain,classification,verilog_path,aig_path,source_kind,source_csv,notes
ex200,bf16,3717,17,63189,40052,1.577674,0,0,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation,bf16_exp_daz_rne_ftz / bf16_exp_daz_rne_ftz / bf16_exp_daz_rne_ftz / bf16_exp_daz_rne_ftz,bf16_exp_daz_rne_ftz / bf16_exp_daz_rne_ftz / bf16_exp_daz_rne_ftz / bf16_exp_daz_rne_ftz,semantic_exp_default_one_parallel_casez_saturation,,run,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.aig,seed,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/results/best.csv,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic default-one parallel casez saturation items=3863; exact over 65536 inputs
ex201,bf16,1647,14,23058,16300,1.414601,1,0,ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1,bf16_exp2 / DAZ + 2^x + BF16 RNE + FTZ + canonical NaN / bf16_exp2 / DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,bf16_exp2 / DAZ + 2^x + BF16 RNE + FTZ + canonical NaN / bf16_exp2 / DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hilo3_field_mode_bits_3_bh1,,run,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex201/verilog/ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex201/aigs/ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1.aig,seed,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/results/best.csv,hilo3 field mode base with bit overrides bits=3 bit_hi_bits=1 items=3626
ex202,bf16,3478,16,55648,43344,1.283869,1,0,ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4,bf16_exp10 / DAZ + 10^x + BF16 RNE + FTZ + canonical NaN / bf16_exp10 / DAZ + 10^x + BF16 RNE + FTZ + canonical NaN,bf16_exp10 / DAZ + 10^x + BF16 RNE + FTZ + canonical NaN / bf16_exp10 / DAZ + 10^x + BF16 RNE + FTZ + canonical NaN,sep_fields_e3_m3_s0_bits_14_15_bh4,,run,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex202/verilog/ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex202/aigs/ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4.aig,seed,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/results/best.csv,separate fields exp_hi=3 mant_hi=3 sign_hi=0 items=3402; sep bit overrides bits=14_15 bit_hi_bits=4 bit_items=37
ex203,bf16,4544,17,77248,56948,1.356466,1,0,ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_bh2,bf16_log / DAZ + ln(x) + BF16 RNE + FTZ + canonical NaN / bf16_log / DAZ + ln(x) + BF16 RNE + FTZ + canonical NaN,bf16_log / DAZ + ln(x) + BF16 RNE + FTZ + canonical NaN / bf16_log / DAZ + ln(x) + BF16 RNE + FTZ + canonical NaN,sep_fields_e3_m3_s2_bits_14_bh2,,run,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex203/verilog/ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_bh2.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex203/aigs/ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_bh2.aig,seed,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/results/best.csv,separate fields exp_hi=3 mant_hi=3 sign_hi=2 items=7941; sep bit overrides bits=14 bit_hi_bits=2 bit_items=35
ex204,bf16,1545,17,26265,15180,1.730237,0,0,ex204_bf16_log2_log2_arithbase_delta_hilo3_formula_bits_11_14,bf16_log2 / DAZ + log2(x) + BF16 RNE + FTZ + canonical NaN / bf16_log2 / DAZ + log2(x) + BF16 RNE + FTZ + canonical NaN,bf16_log2 / DAZ + log2(x) + BF16 RNE + FTZ + canonical NaN / bf16_log2 / DAZ + log2(x) + BF16 RNE + FTZ + canonical NaN,log2_arithbase_delta_hilo3_formula_bits_11_14,,run,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex204/verilog/ex204_bf16_log2_log2_arithbase_delta_hilo3_formula_bits_11_14.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex204/aigs/ex204_bf16_log2_log2_arithbase_delta_hilo3_formula_bits_11_14.aig,seed,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/results/best.csv,log2 arithmetic base delta_mode=hilo3 items=8591 bit_overrides= bit_items=0; formula bit overrides bits=11_14 bit_items=2
ex205,bf16,4463,17,75871,47128,1.609892,0,0,ex205_bf16_log10_sep_fields_e3_m3_s0_bits_15_bh1,bf16_log10 / log10 / bf16_log10 / log10,bf16_log10 / log10 / bf16_log10 / log10,sep_fields_e3_m3_s0_bits_15_bh1,,run,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex205/verilog/ex205_bf16_log10_sep_fields_e3_m3_s0_bits_15_bh1.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex205/aigs/ex205_bf16_log10_sep_fields_e3_m3_s0_bits_15_bh1.aig,seed,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/results/best.csv,separate fields exp_hi=3 mant_hi=3 sign_hi=0 items=7913; sep bit overrides bits=15 bit_hi_bits=1 bit_items=8; curated_active_seed
ex206,bf16,26872,21,564312,539049,1.046866,1,0,ex206_bf16_sin_odd_pos_fullword_h4,bf16_sin / sin / bf16_sin / sin,bf16_sin / sin / bf16_sin / sin,odd_pos_fullword_h4,,run,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex206/verilog/ex206_bf16_sin_odd_pos_fullword_h4.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex206/aigs/ex206_bf16_sin_odd_pos_fullword_h4.aig,seed,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/results/best.csv,positive-domain full word with odd sign flip hi_bits=4 items=32359
ex207,bf16,29873,21,627333,627817,0.999229,1,1,ex207_bf16_tan_odd_pos_fullword_expflip_h4,bf16_tan / tan / bf16_tan / tan,bf16_tan / tan / bf16_tan / tan,odd_pos_fullword_expflip_h4,,run,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex207/verilog/ex207_bf16_tan_odd_pos_fullword_expflip_h4.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex207/aigs/ex207_bf16_tan_odd_pos_fullword_expflip_h4.aig,seed,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/results/best.csv,positive-domain full word with odd sign flip hi_bits=4 items=32509; sign flip simplified to exp!=255
ex208,bf16,2167,15,32505,24505,1.326464,1,0,ex208_bf16_sinh_default_in_const_excepts_h4,bf16_sinh / sinh / bf16_sinh / sinh,bf16_sinh / sinh / bf16_sinh / sinh,default_in_const_excepts_h4,,run,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex208/verilog/ex208_bf16_sinh_default_in_const_excepts_h4.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex208/aigs/ex208_bf16_sinh_default_in_const_excepts_h4.aig,seed,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/results/best.csv,default expr in with exception hi_bits=4 items=2706; curated_active_seed
ex209,bf16,756,13,9828,7320,1.342623,1,0,ex209_bf16_tanh_sign_exp_default_expr_casez,bf16_tanh / tanh / bf16_tanh / tanh,bf16_tanh / tanh / bf16_tanh / tanh,sign_exp_default_expr_casez,,run,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex209/verilog/ex209_bf16_tanh_sign_exp_default_expr_casez.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex209/aigs/ex209_bf16_tanh_sign_exp_default_expr_casez.aig,seed,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/results/best.csv,range-compressed sign-exp default expression groups=3 exceptions=33680 items=33970; curated_active_seed
